id,family,status,reason
css2d_label,css2d,external,"Requires CSS2D/CSS3D DOM renderer, not framebuffer rasterization."
css3d_mixed,css3d,external,"Requires CSS2D/CSS3D DOM renderer, not framebuffer rasterization."
css3d_molecules,css3d,external,"Requires CSS2D/CSS3D DOM renderer, not framebuffer rasterization."
css3d_orthographic,css3d,external,"Requires CSS2D/CSS3D DOM renderer, not framebuffer rasterization."
css3d_periodictable,css3d,external,"Requires CSS2D/CSS3D DOM renderer, not framebuffer rasterization."
css3d_sandbox,css3d,external,"Requires CSS2D/CSS3D DOM renderer, not framebuffer rasterization."
css3d_sprites,css3d,external,"Requires CSS2D/CSS3D DOM renderer, not framebuffer rasterization."
css3d_youtube,css3d,external,"Requires CSS2D/CSS3D DOM renderer, not framebuffer rasterization."
games_fps,games,external,Requires first-person input/pointer-lock game integration.
misc_animation_groups,misc,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
misc_animation_keys,misc,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
misc_boxselection,misc,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
misc_controls_arcball,misc,external,Requires a browser input/control integration; CPU Canvas2D camera/object manipulation is permitted.
misc_controls_drag,misc,external,Requires a browser input/control integration; CPU Canvas2D camera/object manipulation is permitted.
misc_controls_fly,misc,external,Requires a browser input/control integration; CPU Canvas2D camera/object manipulation is permitted.
misc_controls_map,misc,external,Requires a browser input/control integration; CPU Canvas2D camera/object manipulation is permitted.
misc_controls_orbit,misc,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
misc_controls_pointerlock,misc,external,Requires a browser input/control integration; CPU Canvas2D camera/object manipulation is permitted.
misc_controls_trackball,misc,external,Requires a browser input/control integration; CPU Canvas2D camera/object manipulation is permitted.
misc_controls_transform,misc,external,Requires a browser input/control integration; CPU Canvas2D camera/object manipulation is permitted.
misc_exporter_draco,misc,external,Requires a format importer/exporter and usually external assets/decoders.
misc_exporter_exr,misc,external,Requires a format importer/exporter and usually external assets/decoders.
misc_exporter_gcode,misc,external,Requires a format importer/exporter and usually external assets/decoders.
misc_exporter_gltf,misc,external,Requires a format importer/exporter and usually external assets/decoders.
misc_exporter_gltf_normals,misc,external,Requires a format importer/exporter and usually external assets/decoders.
misc_exporter_ktx2,misc,external,Requires a format importer/exporter and usually external assets/decoders.
misc_exporter_obj,misc,external,Requires a format importer/exporter and usually external assets/decoders.
misc_exporter_ply,misc,external,Requires a format importer/exporter and usually external assets/decoders.
misc_exporter_stl,misc,external,Requires a format importer/exporter and usually external assets/decoders.
misc_exporter_usdz,misc,external,Requires a format importer/exporter and usually external assets/decoders.
